"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"op84","KIOSK UNCLE BOB RNR ELMINA ARAH SELATAN","Chicken","4.6","(100+)","Shah Alam",""
"j3bt","JUEZUL CORNER @ Pak Grocer Desa Latania","Malaysian","4.9","(46)","Shah Alam",""
"n4d7","D’Tungkus Takanon Sabahan Cafe","Asian","5","(1)","Shah Alam",""
"u4jc","Restoran Rathnas","Indian","4.6","(500+)","Shah Alam",""
"ch1m","Raub SYC Hainan Kopitiam (劳勿海南茶室）","Malaysian","4.8","(100+)","Shah Alam",""
"pvxv","EESOY (Kota Kemuning)","Beverages","5","(16)","Shah Alam",""
"r4ji","cake 7 bakery","Bread","4.5","(100+)","Shah Alam",""
"uy3o","Kedai Makan Sri Kelana","Malaysian","4.5","(100+)","Shah Alam",""
"h0rt","Soon Hing Wantan Mee (Kota Kemuning) 顺兴烧腊云吞面馆","Noodles","4.3","(100+)","Shah Alam",""
"q8mt","Nasi Daging Sempoi","Briyani","4.4","(100+)","Shah Alam",""
"k6cc","Golden Brown","Western","4.9","(28)","Shah Alam",""
"o91p","Sup Utara Meletop KakSu","Malaysian","4.7","(23)","Shah Alam",""
"t6ua","Qi Lai Vegetarian Restaurant","Noodles","4.7","(500+)","Shah Alam",""
"q1zi","Xiao Chao @ 96 Hao Hao Chi","Chinese","4.4","(500+)","Shah Alam",""
"u0gu","USEN FOOD OUTLET","Malaysian","4.7","(100+)","Shah Alam",""
"nt29","Toast Maker VIBE (Kota Kemuning)","Sandwiches","4.6","(100+)","Shah Alam",""
"p3wa","MJ's Corner Nasi Lemak @ YunHai Kopitiam","Nasi Lemak","3.8","(29)","Shah Alam",""
"ih2a","ST Kelapa","Juice","4.4","(500+)","Shah Alam",""
"s1wj","Tappers Cafe Setia Alam","Malaysian","4.6","(500+)","Shah Alam",""
"g8tl","八戒猪肉粉 Ba Jet Pork Noodle","Noodles","4.5","(100+)","Shah Alam",""
