"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"iuyb","Cepetz Burger","Fast Food","5","(2)","Klang",""
"vevx","Nasi Lemak Sungai Udang Klang","Nasi Lemak","4.7","(1000+)","Klang",""
"zgnt","RESTORAN E.K EMPAYAR","Fried Rice","3.9","(66)","Klang",""
"gylv","Kuro car-fe","American","5","(8)","Klang",""
"g3th","Sibuk Ngopi","Coffee","4.8","(100+)","Klang",""
"cd88","Pork Mee @ Come 96 Food Court","Chinese","4.3","(28)","Klang",""
"qfh8","RESTORAN DAPUR ASIA BARAT","Asian","3.6","(2)","Klang",""
"izgy","Mee Hun Kuey@168 Kopitiam","Asian","5","(1)","Klang",""
"s6hf","Panmour Villa Klang","Fried Rice","4.6","(100+)","Klang",""
"vzom","Warung Bakso Sriyani (Ayam Geprek Klang)","Chicken","4.3","(100+)","Klang",""
"n6so","Wawa Corner","Malaysian","4.9","(17)","Klang",""
"ghhm","RESTORAN YUNUS MAJU","Asian","4.8","(26)","Klang",""
"s6fp","Hon Bak. Bak Kut Teh @ Come 96 Foodcourt","Rice Dishes","4.3","(100+)","Klang",""
"m72v","Gerai makan sahar","Fried Rice","4.8","(1000+)","Klang",""
"l6ej","Four Taste Chicken Rice 祖传四味鸡饭(Soon Beng Pandamaran)","Asian","5","(27)","Klang",""
"j6eg","Izzat Burger/Kebab","Burgers","4.8","(100+)","Klang",""
"cci7","Alleya Cafe (Kg Sg Sireh Tambahan 2)","Malaysian","4.2","(71)","Klang",""
"k3q9","Dapoq Kak Hunny","Malaysian","4.3","(5)","Klang",""
"yaoc","Gerai Makan Bayu Perdana","Malaysian","3","(1)","Klang",""
"t8ht","CRYSTAL CROWN HOTEL HARBOUR","Chicken Chop","2.8","(14)","Klang",""
"pbgf","Nasi Lemak Kukus Bunga Raya","Nasi Lemak","4.1","(99)","Klang",""
"hgb9","WESTERN CABIN","Malaysian","4.4","(74)","Klang",""
"d3v0","Ohana Ice Blended","Beverages","3.6","(28)","Klang",""
"b9gu","168 Kopitiam","Malaysian","4.7","(500+)","Klang",""
"cfsv","Dapur Kueh Legend","Malaysian","4.9","(97)","Klang",""
"oe48","BROTHERHOODS CAFE","Pasta","4.6","(64)","Klang",""
"f1to","Soon Beng Kopitiam (Pandamaran)","Roti Canai","4.8","(100+)","Klang",""
"y1ty","Shifu Kitchen (168 Kopitiam)","Chinese","4.2","(100+)","Klang",""
"ae96","Iron Moi Spicy Hot Pot @ Klang","Chinese","4.5","(19)","Klang",""
"smpn","Aiskrim Malaysia Pikaa","Desserts","5","(1)","Klang",""
"wjj0","Xiao Fan Zong ( Come 96 Food Court)","Chinese","2.7","(3)","Klang",""
"a5hw","Amazing FaB","Takoyaki","4.7","(100+)","Klang",""
"e9xb","Satay Sedap Syabib","Soups","4.2","(61)","Klang",""
"lilq","Juadah Kak Ana Nasi Beriani Oriperakweh...!!","Briyani","4.6","(100+)","Klang",""
"xeie","Jinli Healthy Dessert (168 Kopitiam)","Asian","4.6","(74)","Klang",""
"j5jb","Roti Canai Kak Linda","Roti Canai","4.6","(2000+)","Klang",""
"veuh","Gerai Mak Ngah Kuih Muih tradisional dan masakan panas","Asian","4.6","(100+)","Klang",""
"vh1k","Lan Yong Tau Foo (Persiaran Seri Junjung Bukit Tinggi)","Seafood","4.3","(29)","Klang",""
"r49a","Restaurant Soon Shui","Chinese","4","(1)","Klang",""
"pfhg","Selera Utara","Malaysian","4.5","(100+)","Klang",""
"o8lt","Restoran Bakso (Blok B Bayu)","Malaysian","4.7","(2000+)","Klang",""
"nwm4","Ammas Corner Restaurant","Indian","5","(21)","Klang",""
"pdzv","RESTORAN MUSLIM SABAHAN CHINESE FOOD","Asian","4.6","(100+)","Klang",""
"v0nf","heong bee bak kut teh","Rice Dishes","4.6","(100+)","Klang",""
"ti8v","Tong Fong Seafood Restaurant","Chinese","4.5","(500+)","Klang",""
"o2qi","Marisa Yong Tau Fu Sup","Fried Rice","4.7","(3000+)","Klang",""
"jgzv","SHREEMAJU CAFE","Malaysian","4.1","(2)","Klang",""
"mgqq","Bask Bear Coffee (Jalan Teluk Pulai ,Klang)","Sandwiches","4.8","(500+)","Klang",""
"c9tb","细果鸡饭 Restoran SAIKO Xing Ong Huat","Chinese","4","(100+)","Klang",""
"xkvu","Nasi lemak hijau pandan mama zana","Nasi Lemak","4.7","(500+)","Klang",""
"rm42","BURGER AMIN","Burgers","4.6","(15)","Klang",""
"w5ie","GERAI MEE GORENG AH KOW 老招牌炒面店啊九 (Morning)","Noodles","4.5","(100+)","Klang",""
"ybi7","Aachi's Kitchen","Indian","4.4","(100+)","Klang",""
"t7vm","Ayam Gepok Bayu","Malaysian","4.6","(1000+)","Klang",""
"awt9","APAM BALIK 4F","Pancakes & Waffles","4.6","(500+)","Klang",""
"t9sw","RR TOMYAM","Tom Yum","3.9","(500+)","Klang",""
"aq22","DAPO' KELA","Asian","5","(9)","Klang",""
"u6dn","GERAI MEE GORENG AH KOW 老招牌炒面店啊九 (Night)","Noodles","4.6","(100+)","Klang",""
"t9ue","FamilyMart (Famima - Teluk Pulai)","Japanese","4.6","(1000+)","Klang",""
"lf7m","Pisang Goreng Resipi Sendiri","Malaysian","4.6","(100+)","Klang",""
"n9bg","Pizza Hut (Teluk Pulai)","Pizza","4.7","(3000+)","Klang",""
"l5yg","Nasi kukus kak ton","Nasi Kukus","4.6","(2000+)","Klang",""
"wcjn","Kedai Bakso Flat Hijau Pandamaran","Soups","4.8","(500+)","Klang",""
"kh8p","MK Nasi Kukus","Nasi Kukus","4.3","(100+)","Klang",""
"x45u","Warung Pak Din Palm Grove (Aneka Kuih Muih)","Malaysian","4.1","(100+)","Klang",""
"t91e","MAN SATAY KAMPUNG DELEK","Malaysian","4.8","(11)","Klang",""
"kjpm","Restoran Vista Indah","Malaysian","4.4","(2)","Klang",""
"v1ec","Mee Tauhu Tawau","Malaysian","4.7","(1000+)","Klang",""
"v29c","Ummi & Abbi Restaurant","Halal","4.4","(31)","Klang",""
"wmc4","takoyaki by cheftako","Malaysian","4.9","(100+)","Klang",""
"knsr","WANG LI RESTAURANT","Noodles","4.8","(100+)","Klang",""
"gz5c","Pasta Crafters (Teluk Pulai)","Asian","5","(48)","Klang",""
"b7yc","RESTORAN SRI ANIS","Fried Rice","4.4","(500+)","Klang",""
"r9rr","RESTORAN NILA CORNER","Indian","4.4","(500+)","Klang",""
"xh7t","MK Waffle Cafe","Asian","4.5","(16)","Klang",""
"kian","Na Restoran Dan Katering","Malaysian","5","(2)","Klang",""
"ckvb","WANG LI RESTAURANT","Noodles","4.8","(100+)","Klang",""
"gsqp","Bakso Kediri - Taman Bayu Perdana","Asian","4.7","(100+)","Klang",""
"f7bc","SRJ HOMEMADE KITCHEN","Healthy","4.9","(9)","Klang",""
"m1i4","Mak Long Corner","Burgers","4.6","(100+)","Klang",""
"qxos","Nasi Kukus Kambing Bakar MK","Malaysian","4.3","(100+)","Klang",""
