"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"cikb","Seri Malaya - Foodle (Kajang)","Malaysian","4","(12)","Kajang",""
"c9vx","Nasi Ayam Berapi - Foodle (Kajang)","Malaysian","3.9","(100+)","Kajang",""
"lx1l","Mizz Nini Kitchen","Malaysian","4.7","(100+)","Kajang",""
"t5yx","KOFFIE LANE","Pasta","4.6","(1000+)","Kajang",""
"krvs","Hasta La Pasta - Foodle (Kajang)","Asian","4.4","(56)","Kajang",""
"p4ah","Burger Corner","Burgers","4.9","(100+)","Kajang",""
"ec91","RICHIAMO COFFEE PRIMA SAUJANA KAJANG","Malaysian","4.7","(100+)","Kajang",""
"rys8","SmashHouse Burgers - Foodle (Kajang)","Asian","4","(52)","Kajang",""
"rbhc","Kopi Tok Wan - Foodle (Kajang)","Asian","4.6","(24)","Kajang",""
"eiht","Abdullah Lee - Foodle (Kajang)","Malaysian","4.4","(33)","Kajang",""
"p0yk","Ray Burger","Burgers","4.8","(2000+)","Kajang",""
"ojnl","Foodle Food Hall - Foodle (Kajang)","Asian","4.1","(59)","Kajang",""
"u97u","KRB (Korean Rice Bowls) - Foodle (Kajang)","Asian","3.3","(19)","Kajang",""
"p5hi","Restoran Rojak Utara Aziz","Malaysian","4.7","(1000+)","Kajang",""
"y8uv","RESTORAN MAMA MISI","Nasi Kerabu","4.7","(1000+)","Kajang",""
"hwne","Nasi Lemak Pak Long Tiger - Foodle (Kajang)","Malaysian","4.8","(8)","Kajang",""
"eyeg","CHEESANG - Pisang Cheese (Prima Saujana)","Pancakes & Waffles","4.1","(39)","Kajang",""
"y8kv","Zahra Sophia","Malaysian","4.8","(100+)","Kajang",""
"l305","Restoran Dapur Nona","Malaysian","4.6","(76)","Kajang",""
"ikkx","Marroush - Foodle (Kajang)","Asian","1.9","(7)","Kajang",""
"ro7d","The Good Bowls & Pasta - Foodle (Kajang)","Malaysian","2.9","(6)","Kajang",""
"n7nr","Milk Moustache Cafe","Korean","4.8","(1000+)","Kajang",""
"zcbt","Ayam Penyet Best (Prima Saujana)","13655 min","4.3","(27)","Kajang",""
"ehlr","Pok Nor Tomyam Seafood","Asian","4.4","(100+)","Kajang",""
"c88g","Restoran Dan Katering Jalil ( Nasi Kandar Hj Jalil)","Nasi Kandar","4.8","(500+)","Kajang",""
"mdfo","Middle East Restaurant","Middle Eastern","4.4","(100+)","Kajang",""
"z3zo","Restoran Alaji Maju 24 Jam","Malaysian","2.8","(16)","Kajang",""
"x6o1","Al Arish Tomyam","Tom Yum","4.3","(100+)","Kajang",""
"j1or","D'Balqis Thai Tomyam","Asian","4.9","(22)","Kajang",""
"mldt","AL-ARISH BISTRO","Asian","4.3","(100+)","Kajang",""
"mebh","Restoran Sara Tomyam Seafood","Asian","4.5","(500+)","Kajang",""
"hsa9","Restoran Nasi Kandar Yusuf (Taman Kajang Impian)","Malaysian","5","(21)","Kajang",""
"d4wa","Restoran Reem Hadramout","Chicken","4.7","(1000+)","Kajang",""
"dxlq","REZKI TOMYAM SEAFOOD","Asian","5","(19)","Kajang",""
"h0t9","Rahmat Q Bistro","Malaysian","5","(43)","Kajang",""
"yns9","Restoran Aiman","Malaysian","3.9","(100+)","Kajang",""
"od1q","A'faz Char Koey Teow","Kuey Teow","4.3","(100+)","Kajang",""
"fpev","Salim Corner","Roti Canai","4.3","(500+)","Kajang",""
"n3zq","Yaya Burgerlicious","Burgers","4.5","(100+)","Kajang",""
"yvye","The Gorpis Bangi Square 2","Pisang Goreng","4.9","(12)","Kajang",""
"ypwc","Farm Grill House","Western","4.6","(500+)","Kajang",""
"h3ab","Masak Lomak Cili Api","Malaysian","4.7","(500+)","Kajang",""
"oaw2","Alshami Food","Bread","4.5","(100+)","Kajang",""
"i539","Ayam Penyet Global","Ayam Penyet","4.6","(100+)","Kajang",""
"z1q0","Unclebob Fried Chicken  @ Shell Sg Ramal","Fast Food","5","(1)","Kajang",""
"q9vi","Nasi Kandar Sahabat Bistro","Nasi Kandar","4.5","(100+)","Kajang",""
"o0qr","Sate Yus - Taman Ramal Indah","Malaysian","4.9","(3)","Kajang",""
"ts3c","The Mac's (Bangi Square 2)","Pasta","4.8","(48)","Kajang",""
"pnwd","AHMAD BUBUR AYAM & AYAM GORENG","Healthy","3.1","(16)","Kajang",""
"srwn","Sate Baung Sungai Ramal @ food valet","Satay","4.5","(100+)","Kajang",""
"n6vk","Lecoa Teaz","Bubble Tea","2.9","(22)","Kajang",""
"xir8","PAPAMU WESTERN","Chicken","4.4","(18)","Kajang",""
"s8rr","Al Fatah TTDI Grove","Curry","4.8","(500+)","Kajang",""
"wnpy","Wan Mo Bo (Avenue 26)","Desserts","4.9","(14)","Kajang",""
"sxyc","Keycap's (Food Valet)","Chicken","4.7","(500+)","Kajang",""
"q1cw","Food Valet Drink Stations","Beverages","4.7","(100+)","Kajang",""
"i4ch","Restoran Al Khail","Malaysian","4.6","(5000+)","Kajang",""
"ybwj","Zakway Bistro","Roti Canai","4.7","(1000+)","Kajang",""
"qfx3","NURIMANPURPLEBISTRO","Malaysian","4.8","(100+)","Kajang",""
"eo5r","Smash King","Burgers","4.8","(12)","Kajang",""
"h6ew","Gurgek Burger (Kajang)","Fast Food","4.1","(8)","Kajang",""
