"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"yjmv","Dapur Mama Asma","Pisang Goreng","2.8","(14)","Puchong",""
"etjf","GigaBites Restaurant","Asian","4.4","(100+)","Puchong",""
"sdwv","Akka Food Shop","Nasi Lemak","4.2","(100+)","Puchong",""
"z084","Nasi Kandar Al Rejab","Malaysian","4.6","(63)","Puchong",""
"rm8x","The coconut (Puchong)","Asian","5","(1)","Puchong",""
"h6dw","Restoran Al Ajmeer","Malaysian","4.6","(500+)","Puchong",""
"s4r8","Memori Sup Meletop Cafe","Malaysian","4.4","(75)","Puchong",""
"vfpe","Farid Burger (Puchong Perdana)","Burgers","4.9","(91)","Puchong",""
"d6va","Double Tea (Puchong)","Beverages","4.7","(500+)","Puchong",""
"ardl","The Bake Yard","Asian","4","(37)","Puchong",""
"q6lh","Chateau De Caffeinees (Puchong)","Pizza","4.9","(19)","Puchong",""
"i4ba","街头面館 Street Noodles ( Restoran Puchong Utama)","Noodles","4.3","(100+)","Puchong",""
"d1mu","Che Ani Nasi Campur","Fried Rice","4.5","(100+)","Puchong",""
"rmws","Selera Utara (Puchong Perdana)","Malaysian","4.7","(1000+)","Puchong",""
"g1wy","Kedai chup kedah","Nasi Lemak","4.5","(2000+)","Puchong",""
"k1iw","Baker's Cottage (Puchong Utama)","Chicken Rice","4.7","(2000+)","Puchong",""
"aeei","Carol Tasty Kitchen","Malaysian","5","(1)","Puchong",""
"n6bo","Subway (AEON Puchong Utama)","Sandwiches","4.6","(5000+)","Puchong",""
"r5ue","Sam's Caffe","Sandwiches","4.7","(100+)","Puchong",""
"ltue","Cha Bang Ang - Bandar Puchong Utama","Bubble Tea","4.7","(29)","Puchong",""
"kbj1","RESTORAN 90 S SUVAI","Indian","4.3","(63)","Puchong",""
"r6d8","GORENG PISANG BIJAN BOSSKU","Pisang Goreng","4.7","(100+)","Puchong",""
"v6og","Daisy's Cuisine","Chinese","4.8","(12)","Puchong",""
"wd7b","D'Licious Borneo","Asian","5","(35)","Puchong",""
"jd59","Restoran Nieha","Asian","5","(41)","Puchong",""
"s5rj","Restoran Dao Ma Qie (Puchong Utama)","Noodles","4.6","(100+)","Puchong",""
"jv2f","Ani Sup Utara Xpress @ Aeon Big Puchong Utama","Soups","4.7","(100+)","Puchong",""
"aiax","RICHIAMO COFFEE (Puchong Utama)","Asian","4.6","(100+)","Puchong",""
"rh1a","AG Family Food Stall","Chicken","4.7","(65)","Puchong",""
"q7sm","Restaurant King Steamed Vermicelli Roll","Chinese","4.6","(500+)","Puchong",""
"fbwu","Nasi Lemak Kak Jue - Syed Bistro Tmn Puchong Perdana","Malaysian","3.7","(8)","Puchong",""
"c4ir","The Depot 11 by JWC","European","4.7","(100+)","Puchong",""
"nj2z","VINS FRESH COCONUT","Malaysian","5","(7)","Puchong",""
"twny","FARAZEE TRADING","Asian","2.7","(29)","Puchong",""
"ywu8","Sate Hut (Puchong Perdana)","Asian","4.7","(500+)","Puchong",""
"zvp7","Restoran Shafran Maju","Malaysian","4.5","(500+)","Puchong",""
"dpnw","Nur Ayam Penyet","Asian","4","(37)","Puchong",""
"z2hs","Restoran Star Curry House","Indian","3","(17)","Puchong",""
"s3iw","Puchong Bt.14 Yong Tau Fu","Malaysian","4.6","(500+)","Puchong",""
"m0i4","THIEVINA FOOD CATERERS (OWNER BY THIEVINA ENTERPRISE)","Indian","5","(13)","Puchong",""
"dxnk","Mana Lagi Kopitiam - Bandar Puchong Utama","Asian","3.8","(3)","Puchong",""
"isdk","Harris Burger","Burgers","4.7","(33)","Puchong",""
"iboh","KUIH-MUIH TRADISI BONDA BUKIT PUCHONG","Malaysian","4.9","(51)","Puchong",""
"ohu4","Plate & Co","Asian","2.5","(19)","Puchong",""
"q7wi","Chee Cheong Fun @ Restoran Ho Ho Chiak","Chinese","4.3","(84)","Puchong",""
"d3dv","Restaurant Golden Good Taste","Soups","4.3","(89)","Puchong",""
"s5fi","Starman Coffee","Cakes","4.7","(100+)","Puchong",""
"zgjh","WARUNG CILI MERAH (Puchong Utama)","Fried Rice","4.5","(45)","Puchong",""
"q6lg","Belut Puchong","Fried Rice","3.9","(100+)","Puchong",""
"cj7h","Paro Cooks","Indian","5","(1)","Puchong",""
"o8pl","Rojak Cendol Klang Valley Cafe","Desserts","4.6","(500+)","Puchong",""
"u7zy","Fried Kuey Teow @ Restoran Big Family","Kuey Teow","4.4","(100+)","Puchong",""
"o4jp","Shamil Coconut Shake","Beverages","4.8","(100+)","Puchong",""
"v1xi","Citarasa Isteriku","Tom Yum","4.5","(500+)","Puchong",""
"nigt","Krapow King Puchong","Asian","4.9","(30)","Puchong",""
"xhla","Tiga Budak Gemok (Puchong Utama)","Asian","4.8","(100+)","Puchong",""
"j9s3","Rojak Wanis","Malaysian","4.4","(100+)","Puchong",""
"d0qv","Maher Shawarma (Taman Puchong Indah)","Malaysian","1","(1)","Puchong",""
"ty15","100 Billions Wan Tan Noodle 千億雲吞面","Chinese","4.9","(11)","Puchong",""
"rd8p","Dai Chao/single dish rice/noodles 大炒/单座饭/面","Chinese","4.3","(100+)","Puchong",""
"oe6p","Puchong Popiah @ Restoran Big Family","Asian","4.9","(26)","Puchong",""
"czwj","Dayang Sarawak Corner Puchong","Chicken","4.7","(1000+)","Puchong",""
"xzmj","Hanana Station","Malaysian","4.6","(100+)","Puchong",""
"xhgv","JIAK HO LIAO","Asian","4.6","(4)","Puchong",""
"itcq","Princy Kitchen","Chicken","2.9","(50)","Puchong",""
"fqfu","Soybar (Restoran Big Family)","Asian","5","(2)","Puchong",""
"gknd","Lantera Sabiq Empire","Malaysian","5","(2)","Puchong",""
"r19y","TAKONYUM 573","Takoyaki","4.9","(100+)","Puchong",""
"r071","ASAM PEDAS POYO","Rice Dishes","4.6","(45)","Puchong",""
"q0je","Lan Je Steam Fish (PC) 万撓籣姐一人一鱼","Seafood","4.8","(500+)","Puchong",""
"xigm","Dapur Nusantara","Ayam Penyet","4.4","(54)","Puchong",""
"kruq","POKCU ICE CREAM DAN ROJAK BUAH","Ice Cream","4.4","(14)","Puchong",""
"o593","jujube vegetarian house - puchong","Vegetarian","4.6","(92)","Puchong",""
"xgca","Warung TNK 7 Tawau","Malaysian","3.8","(6)","Puchong",""
"a4sy","Chicken Rice @ Restoran Big Family","Chicken","3.5","(100+)","Puchong",""
"t4dg","doodoorian","Seafood","4.7","(12)","Puchong",""
"my9v","Akka Shop","Fried Rice","4.7","(100+)","Puchong",""
"ix1l","Dai chao/single dish/ fried noodles大炒/单座饭/炒面","Chinese","4.2","(100+)","Puchong",""
"fq6w","Hou Dei Tim Restaurant","Chinese","3.9","(10)","Puchong",""
"s7yl","D'muo kitchen","Fried Rice","4","(500+)","Puchong",""
