"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"zp0m","Warung Padang By The Majapahit (Putrajaya)","Chicken","4.7","(100+)","Putrajaya",""
"n9cq","Shell Out (Ayer 8 Putrajaya)","Rice Dishes","4.7","(100+)","Putrajaya",""
"b5hx","JALUR BERINGIN CAFE","Fried Rice","4.3","(100+)","Putrajaya",""
"oxd6","3BG'S ORIGINAL 058","Malaysian","4.3","(9)","Putrajaya",""
"diri","Bask Bear Coffee (Ayer 8 Putrajaya)","Sandwiches","4.8","(1000+)","Putrajaya",""
"uvpo","Thai Tom Yam Kung","Thai","4.7","(500+)","Putrajaya",""
"qy04","Murtabite (Murtabak Singapore)","Malaysian","4.9","(10)","Putrajaya",""
"pyqv","Chak'z 1964 (Ayer@8)","Pasta","4.5","(8)","Putrajaya",""
"p5za","Jagung Legend","Beverages","4.7","(97)","Putrajaya",""
"n5fr","Umai Cafe - Putrajaya","Malaysian","4.7","(100+)","Putrajaya",""
"m7mz","D'Tandoor (Precint 8 Putrajaya)","Indian","4.6","(500+)","Putrajaya",""
"oh6p","Nasi Ahmad (Putrajaya)","Malaysian","4.7","(500+)","Putrajaya",""
"ejgj","NASI AYAM KAPTEN SHAGGY","Nasi Kandar","4.5","(500+)","Putrajaya",""
"o8e7","Warong Wak Yunos @Presint 18","Asian","4.7","(45)","Putrajaya",""
"amd8","Hercaa (Putrajaya)","Asian","4.8","(100+)","Putrajaya",""
"sfte","Diwane Hadramawt","Chicken","4.3","(100+)","Putrajaya",""
"wyu9","Y Thai","Fried Rice","4.4","(100+)","Putrajaya",""
"n6jc","Pizza Hut Delivery (Putrajaya Presint 8)","Pizza","4.7","(5000+)","Putrajaya",""
"qvw8","3 BG' (Presint 8)","Chicken","3.5","(3)","Putrajaya",""
"mpgk","BEGER BLOK","Burgers","4.9","(17)","Putrajaya",""
"j021","Daporlah (KPDNHEP Putrajaya)","Chicken","4.6","(100+)","Putrajaya",""
"fo4q","Oldtown White Coffee (Souq Putrajaya)","Asian","4.8","(100+)","Putrajaya",""
