"StoreId","storename","FoodType","AverageRating","City","totalcustomer","totalreturningcustomer","totalreview"
kf1p,Dangau Tokwan ( Centrio Pantai Hillpark),Malaysian,5.0,Kuala Lumpur,2,1,4
kfki,NASI LEMAK BURUNG HANTU,Asian,4.8,Kuala Lumpur,32,0,32
kfy5,La Chica Mexican Grill - Bangsar,Western,3.8,Kuala Lumpur,1,0,1
kgfu,Nadia Cafe (Wisma Leopad),Vegetarian,4.0,Kuala Lumpur,2,0,2
kh2e,Wong Sang Kee 黄创记肉骨茶,Chinese,4.4,Kuala Lumpur,7,0,7
ki23,Murtabite (Murtabak Singapore),Malaysian,5.0,Kuala Lumpur,1,0,1
ki7f,Warung Dayana,Malaysian,4.6,Kuala Lumpur,11,0,11
kire,Rasa Lemak,Malaysian,4.9,Kuala Lumpur,17,3,21
kjr9,VINNY JEYAA,Malaysian,4.5,Kuala Lumpur,4,0,4
kjsi,THAITANIC PLACE RESTAURANT,Malaysian,4.6,Kuala Lumpur,116,20,168
kjvj,No 10 Cafe,Beverages,4.5,Kuala Lumpur,1,0,1
kjzq,Simple D. Cafe,Sandwiches,4.7,Kuala Lumpur,33,5,41
km6y,Achi Vadai (Leboh Ampang),Malaysian,2.6,Kuala Lumpur,12,0,12
koss,万寿宫炖汤王MARIGOLD,Chinese,4.5,Kuala Lumpur,2,1,4
kotm,Taal Authentic Cuisine (Brickfield),Briyani,3.8,Kuala Lumpur,25,1,26
kpaf,Georgetown Nasi Kandar,Malaysian,4.3,Kuala Lumpur,10,1,11
kpal,SOODAP YONG TAU FOO,Asian,4.4,Kuala Lumpur,23,3,27
kpe4,Le Chef (Pandan Prima),Shawarma,4.7,Kuala Lumpur,45,3,48
krcb,penyetpenyet.com (Busana),Ayam Penyet,4.5,Kuala Lumpur,96,7,111
krgx,Nasi Kukus Sotong King (SOGO-KL),Nasi Kukus,3.5,Kuala Lumpur,8,0,8
kry4,Wantan Mee (Restaurant Kuchai Lama),Noodles,4.1,Kuala Lumpur,4,0,4
ksrx,Satay Ros (Yulex),Satay,4.5,Kuala Lumpur,2,0,2
ksu2,Riz's Cafe Ala Carte @ Menara Duta Pool Side,Malaysian,5.0,Kuala Lumpur,1,0,1
kswq,Ikan Bakar Portugis Abe Yus (Alpha Angle),Seafood,4.4,Kuala Lumpur,26,0,26
ktcj,HUSMU FOOD THAI AND MALAYA DESSERT,Asian,5.0,Kuala Lumpur,1,1,4
ktp3,FAMOUS HUSSAIN NASI KANDAR,Malaysian,4.3,Kuala Lumpur,16,2,22
ktzu,Ayam Gepuk Ori Selayang (Razak City),Asian,4.7,Kuala Lumpur,32,3,35
kufx,BASAEE TOMYAM SEAFOOD,Fried Rice,4.5,Kuala Lumpur,162,33,216
kulc,Laksa Penang Tokmak,Malaysian,5.0,Kuala Lumpur,2,0,2
kux4,Chris & Co.,Fried Rice,4.9,Kuala Lumpur,5,1,8
kwu1,Sup Meletup Asli (Desa Tasik),Rice Dishes,4.6,Kuala Lumpur,159,13,182
kxxk,Palmyra@Alsafa Restoran,Shawarma,4.5,Kuala Lumpur,56,3,59
kybr,Shawarma & BBQ Halab - KL,Asian,4.5,Kuala Lumpur,20,1,30
kymg,Nasi Lemak Kak Nor Desa Setapak,Malaysian,3.8,Kuala Lumpur,3,1,4
l00e,Hono Ramen Bar,Japanese,1.8,Kuala Lumpur,5,0,5
l0c7,Vegipai Restaurant,Vegetarian,4.7,Kuala Lumpur,2,0,2
l0fi,Sae ma eul bbq (sri petaling),Korean,4.7,Kuala Lumpur,24,2,27
l15h,Takoyaki Leleh Bandaraya,Takoyaki,4.9,Kuala Lumpur,4,0,4
l1bm,Vistana Corner,Chicken,4.4,Kuala Lumpur,9,2,11
l1fd,Green Lane Noodles,Curry,4.4,Kuala Lumpur,2,0,2
l1j6,Restoran Mesti Cuba,Roti Canai,4.2,Kuala Lumpur,9,1,10
l1rd,Kancil Raja Patin,Curry,4.7,Kuala Lumpur,15,3,18
l1si,Cozy House Restaurant,Malaysian,4.8,Kuala Lumpur,15,2,17
l2hu,Simply Chicken (Sunway Putra),Chicken Rice,4.1,Kuala Lumpur,1,0,1
l2nr,Karaikudi Chettinadu Restaurant,Indian,4.3,Kuala Lumpur,71,2,82
l2yq,Tomyam 3000,Fried Rice,4.7,Kuala Lumpur,2,0,2
l34u,"Ikan Bakar Seri Melaka, Jalan Bellamy",Seafood,4.7,Kuala Lumpur,10,0,10
l3by,Noodles Shop (Sri Petaling),Noodles,4.6,Kuala Lumpur,39,6,47
l3gp,Cold Stone Creamery (KLCC),Cakes,5.0,Kuala Lumpur,2,2,4
l427,ADM Special Masakan panas,Roti Canai,4.2,Kuala Lumpur,141,17,162
l4iw,Zakuro Japanese Restaurant,Sushi,5.0,Kuala Lumpur,2,1,3
l4qn,Nasi Ayam Fridas,Chicken,4.5,Kuala Lumpur,2,0,2
l5dl,Nasi Lemak Shah,Nasi Lemak,4.5,Kuala Lumpur,6,0,6
l63l,GTR Burger (St Rosyam Mart Setiawangsa),Burgers,4.0,Kuala Lumpur,2,0,2
l65u,Burger Kami (Taman Sri Rampai),Burgers,4.8,Kuala Lumpur,3,0,3
l6mg,Gowdel Grill Western,Fried Rice,4.4,Kuala Lumpur,7,1,8
l6rt,Arabian Village Restaurant,Middle Eastern,4.0,Kuala Lumpur,45,4,49
l6s0,Nasi Kukus Abe Itey,Asian,4.6,Kuala Lumpur,17,1,18
l6vi,Guan Ming Restaurant,Chicken,4.4,Kuala Lumpur,8,1,12
l7gr,Nasi Lemak Sambal Power Kak Ell,Nasi Lemak,4.3,Kuala Lumpur,83,11,98
l7rb,JIMFOOD - JAKEL MALL,Porridge,4.6,Kuala Lumpur,3,0,3
l889,Mary Churros,Desserts,4.5,Kuala Lumpur,37,1,39
l8bw,Abdullah Goh (Melawati Mall),Chicken,4.3,Kuala Lumpur,18,4,22
l8hs,Ateng Rojak,Healthy,4.8,Kuala Lumpur,1,0,1
l9c0,MR CHURROS DESA PANDAN,Asian,4.8,Kuala Lumpur,23,2,28
l9zm,Heritage One Station,Chicken,4.5,Kuala Lumpur,76,7,94
laao,Cafe Chef Wan Petit BSC,International,5.0,Kuala Lumpur,1,0,1
lb76,Restoran Sultan (Alam Damai),Malaysian,3.5,Kuala Lumpur,2,0,2
lb7a,DELICIOUS BUBBLE TEA & LOKLOK,Asian,4.7,Kuala Lumpur,14,1,18
lblg,Poolview Cafeteria (Bukit Oug Condominium),Malaysian,4.7,Kuala Lumpur,12,3,25
lcow,KIDDOKOI KITCHEN,Malaysian,2.6,Kuala Lumpur,4,0,4
lczv,Marroush - Foodle (Kuchai Lama),Asian,2.0,Kuala Lumpur,18,0,18
le8z,霸王挞 Crostata Suprema,Cakes,4.8,Kuala Lumpur,18,3,21
lekm,Karray Western food,Western,4.3,Kuala Lumpur,18,1,19
less,Annie homecooking catering services,Chinese,5.0,Kuala Lumpur,1,0,1
lfi0,Bekal Box (Chan Sow Lin),Asian,4.1,Kuala Lumpur,2,0,2
lfj8,Mok Su Sup Tulang (Bukit Aman),Malaysian,5.0,Kuala Lumpur,2,0,2
lfju,Restoran Dream,Middle Eastern,3.4,Kuala Lumpur,2,1,6
lg5j,Chill Mate Cafe & Crispy Chill Burger,Burgers,4.8,Kuala Lumpur,20,2,23
lgjh,Restoran ed,Burgers,4.7,Kuala Lumpur,5,0,5
lh4v,NASI LEMAK KUKUS BIDARA LETOP,Nasi Lemak,4.7,Kuala Lumpur,20,3,26
lhi8,Ken Chan Curry (Taman Desa),Chinese,4.4,Kuala Lumpur,9,1,10
lhmn,EATSAPINOY RESTAURANT & CAFE,Rice Dishes,4.0,Kuala Lumpur,22,2,25
li4g,Green Sambal by The Majapahit (Mont Kiara),Asian,4.9,Kuala Lumpur,5,0,5
ling,Nasi Tok Deng ( Outlet Wisma UOA 2 Jln Pinang ),Malaysian,4.8,Kuala Lumpur,5,0,5
liw8,Flower Girl Coffee (Pavilion Bukit Jalil),Asian,3.7,Kuala Lumpur,1,0,1
lixo,Qi Moi Restaurant,Noodles,4.3,Kuala Lumpur,10,2,12
ljtp,Asam Pedas Melaka,Chicken,4.2,Kuala Lumpur,4,0,4
ljyw,POP'S EATERY BANGSAR,Pasta,4.7,Kuala Lumpur,39,5,44
lkg7,NASI DALCA BAWANG PENANG (KL),Seafood,4.1,Kuala Lumpur,30,2,32
lky3,art of salmo,Japanese,4.9,Kuala Lumpur,5,0,5
lm99,Roasterhub,Beverages,4.4,Kuala Lumpur,1,0,1
lmag,MEE GORENG MAMAK CORNER,Roti Canai,4.4,Kuala Lumpur,40,4,50
lmss,Naatamai Palace Garden,Briyani,4.3,Kuala Lumpur,7,0,7
ln8f,Zulaikha Tomyam & Ayam Penyet,Ayam Penyet,4.8,Kuala Lumpur,95,6,102
lnme,Hud Cafe,Middle Eastern,4.8,Kuala Lumpur,4,1,7
lo35,CLAYPOT CHICKEN RICE,Chinese,3.1,Kuala Lumpur,1,0,1
lo8g,Restaurant Acita (Publika),Fried Rice,4.9,Kuala Lumpur,3,1,4
lo98,"1901 (Pernas)",Western,4.7,Kuala Lumpur,4,1,7
lomk,Just Laksa,Laksa,4.7,Kuala Lumpur,25,5,32
lpks,Thai & Grill (SOGO KL),Asian,2.3,Kuala Lumpur,3,0,3
lpo2,Super Moms Station,Malaysian,4.9,Kuala Lumpur,7,0,7
lppw,SENIMAN CAFE,Malaysian,4.8,Kuala Lumpur,5,1,6
lq0g,WESTERN GRILL,Western,3.2,Kuala Lumpur,3,0,3
lr0e,Kedai Makanan Dan Minuman Sing Woh,Chinese,4.0,Kuala Lumpur,2,0,2
lrh8,Nang Haus (Berjaya Times Square),Malaysian,4.8,Kuala Lumpur,1,0,1
lrmr,MASA CAFE,Malaysian,4.6,Kuala Lumpur,26,6,33
lrur,Dotty's Pastries & Coffee (KLCC),Cakes,4.1,Kuala Lumpur,8,0,8
lryk,James Gordon Coffee,Beverages,5.0,Kuala Lumpur,13,3,26
lseo,Charcoal Claypot Chicken Rice @ Restoran Ahmad Muzakin,Chicken Rice,4.5,Kuala Lumpur,10,0,10
ltdx,Penarik Tomyam Seafood Restaurant,Thai,4.3,Kuala Lumpur,39,2,42
lu2y,Cendol BM Ismael (Bukit Bintang),Desserts,4.6,Kuala Lumpur,68,11,85
lugv,MEI WAI YUAN RESTAURANT,Noodles,4.5,Kuala Lumpur,2,1,3
lv35,Kuali Gelegok (Pantai Dalam),Chicken,4.6,Kuala Lumpur,58,6,70
lwda,Restoran Al-Mashur,Asian,4.5,Kuala Lumpur,138,17,172
lwol,Wak Nuar Ayam Penyet,Ayam Penyet,4.8,Kuala Lumpur,6,0,6
lwtv,Maya Mantras Publika @ Lastcall Publika,Malaysian,4.9,Kuala Lumpur,6,0,6
lx9s,Ah Weng Koh Hainan Tea - ICC Pudu,Beverages,4.5,Kuala Lumpur,20,2,24
ly2i,Hayat Mithalia Enterprise,Asian,5.0,Kuala Lumpur,1,0,1
ly3k,Ayam Joget Lavender @ Ding Feng Kitchen,Ayam Penyet,4.0,Kuala Lumpur,9,1,10
lyxe,Rafa Food - The True Western (Masok Foodcourt KL),Malaysian,2.1,Kuala Lumpur,3,0,3
lz0e,Restoran Murni (Setapak),Asian,4.8,Kuala Lumpur,14,1,15
lzat,Restoran Nik Tomyam,Asian,4.9,Kuala Lumpur,2,0,2
m0bg,Syed Bistro (Bangsar),Malaysian,4.3,Kuala Lumpur,15,0,15
m0ch,Ker Yuan Kitchen,Noodles,4.6,Kuala Lumpur,2,0,2
m0es,Restoran Uncle Rahmat (Bangsar),Malaysian,4.3,Kuala Lumpur,48,3,51
m0hn,PoP's Eatery (Wangsa Maju),Pasta,4.6,Kuala Lumpur,66,5,77
m0hr,Victoria Station (Medan Damansara),Western,3.9,Kuala Lumpur,1,0,1
m0id,Saigon House Cuisine,Noodles,4.4,Kuala Lumpur,7,1,8
m0ky,Pung Kyung,Fried Rice,4.3,Kuala Lumpur,3,0,3
m0lk,Subway (Quill City Mall),Sandwiches,4.5,Kuala Lumpur,65,5,71
m0ma,Fuel Shack (KL Convention Centre),Burgers,4.4,Kuala Lumpur,13,0,13
m0me,URBEAN Cafe (Avenue K),Healthy,4.5,Kuala Lumpur,9,2,12
m0mp,Drunk Cat Restaurant,Chinese,4.5,Kuala Lumpur,3,0,3
m0na,Drop Exchange,Chicken,4.4,Kuala Lumpur,4,0,4
m0qf,Teppanyaki (KLCC),Japanese,4.2,Kuala Lumpur,10,0,10
m0sr,Layali El Sham Restaurant,Middle Eastern,4.6,Kuala Lumpur,1,0,1
m16a,MOTTA DELIGHTS,Malaysian,3.3,Kuala Lumpur,1,0,1
m1be,SOLARIS 21 CAFE,Chinese,4.4,Kuala Lumpur,14,1,15
m1cn,Kingstreet Cafe,Western,4.7,Kuala Lumpur,2,0,2
m1co,Restaurant Yung Yi Kei (Jukba- 粥霸),Porridge,4.7,Kuala Lumpur,2,0,2
m1dq,House of Patin Lipis di KL,Seafood,4.5,Kuala Lumpur,29,3,41
m1lw,TL Super Pot (Sri Petaling 脸红麻辣香锅),Chinese,3.8,Kuala Lumpur,13,1,14
m1nb,Sri Ayutthaya (Bukit Damansara),Fried Rice,4.3,Kuala Lumpur,4,0,4
m1ny,Delhi Royale,Indian,4.5,Kuala Lumpur,5,1,6
m1tz,La Risata Bar Pizzeria Ristorante (Damansara),Pizza,4.6,Kuala Lumpur,3,1,4
m1yt,Enoteca,Pizza,4.6,Kuala Lumpur,1,0,1
m1zd,Damascus (Bukit Bintang),Shawarma,4.7,Kuala Lumpur,359,16,386
m23k,Amir Street Food Burger,Burgers,5.0,Kuala Lumpur,1,0,1
m2an,DIN by Din Tai Fung (Suria KLCC),Fried Rice,4.6,Kuala Lumpur,13,1,14
m2bi,Dindigul Thalappakatti,Indian,4.3,Kuala Lumpur,15,1,16
m2bk,BBQ Restaurant,Soups,4.4,Kuala Lumpur,7,2,12
m2ei,Restaurant Yang Juan,Chinese,4.4,Kuala Lumpur,17,0,17
m2hb,Hadramawt Kitchen (Datum Mall),Middle Eastern,4.6,Kuala Lumpur,7,0,7
m2hw,Simply Thai,Thai,4.5,Kuala Lumpur,12,2,14
m2jb,Al Amar Express,Shawarma,4.4,Kuala Lumpur,5,1,6
m2ok,Let'S Veggie,Chinese,4.3,Kuala Lumpur,13,0,13
m2xp,Singh Chapati House,Indian,4.1,Kuala Lumpur,43,4,48
m3aq,Sea Park Dessert,Malaysian,4.3,Kuala Lumpur,5,1,7
m3bm,Dining Bowl Vegetarian Cafe,Chinese,4.3,Kuala Lumpur,31,4,37
m3in,OldTown (AEON Alpha Angle),Malaysian,4.4,Kuala Lumpur,19,2,21
m3pg,Heun Kee Claypot Chicken Rice (Taman Connought),Chinese,4.3,Kuala Lumpur,2,1,4
m3si,Tokyo Teppan,Japanese,4.4,Kuala Lumpur,4,1,5
m3tf,Ah Mah Traditional Homemade Egg Sponge Cake (Sri Petaling),Cakes,4.7,Kuala Lumpur,1,0,1
m3uj,Cameleon Vegetarian Restaurant,Chinese,4.6,Kuala Lumpur,18,1,19
m3zx,Tangkak Beef Noodle (Kuchai Lama),Noodles,4.3,Kuala Lumpur,9,1,10
m485,Selera Impian,Asian,4.6,Kuala Lumpur,51,5,58
m4gd,D'Oldtime Kopitiam,Sandwiches,4.7,Kuala Lumpur,10,0,10
m4hv,Cabana,Healthy,4.8,Kuala Lumpur,1,0,1
m4jy,Giant Bowl Vegetarian Restaurant,Chinese,4.5,Kuala Lumpur,1,0,1
m4q2,Cannes Tea House,Chinese,4.6,Kuala Lumpur,12,1,13
m4tl,LUCE Osteria Contemporanea,Italian,4.5,Kuala Lumpur,23,2,25
m4vh,A&W (Wangsa Walk),Fast Food,4.6,Kuala Lumpur,54,1,56
m5az,Canton Kitchen (Sri Rampai),Chinese,4.6,Kuala Lumpur,42,5,49
m5bv,Passage Thru India,Chicken,4.6,Kuala Lumpur,9,1,10
m5hq,Salon Du Chocolat (Publika),Bread,4.4,Kuala Lumpur,13,0,13
m5ir,B Cafe International (Kuchai Lama),Bread,4.5,Kuala Lumpur,27,4,33
m5ju,The Midnight Baker,Sandwiches,4.5,Kuala Lumpur,3,1,4
m5ko,Devi's Corner Restaurant (Bangsar),Malaysian,4.3,Kuala Lumpur,62,9,81
m5nz,Big Baba Restaurant,Malaysian,4.6,Kuala Lumpur,2,1,3
m5on,Restoran Jaipur Mahal (Sentul),Chicken,3.6,Kuala Lumpur,17,1,19
m5ov,Jemi Cafe,Pasta,4.5,Kuala Lumpur,3,0,3
m5ro,SugarBun (Menara Hap Seng),Fried Chicken,4.7,Kuala Lumpur,375,51,456
m5th,Fierce Curry House,Briyani,4.4,Kuala Lumpur,1,1,4
m5vx,"2 Sneks",Fried Rice,4.2,Kuala Lumpur,7,0,7
m5xn,Paradise Dynasty (Pearl Shopping Gallery),Dumpling,4.6,Kuala Lumpur,4,1,5
m6g9,Restoran Shafah,Malaysian,4.7,Kuala Lumpur,6,2,9
m6hp,Ah Yip Herbal Soup (Sri Hartamas),Chinese,4.4,Kuala Lumpur,16,1,20
m6mi,Mok Teh Nasi Dagang Terengganu - Duta Mas,Seafood,4.5,Kuala Lumpur,13,0,13
m6nk,Riang Riang Restaurant (Pantai Dalam),Fried Rice,4.4,Kuala Lumpur,312,29,365
m6oi,Restoran D (Chow Kit),Asian,4.7,Kuala Lumpur,459,66,604
m6rm,D'Fine Cafe,Fried Rice,4.7,Kuala Lumpur,13,4,24
m7ai,Fortyone Cafe,Western,4.6,Kuala Lumpur,14,3,18
m7bq,Malabar Palace Restaurant,Chicken,4.4,Kuala Lumpur,7,0,7
m7dd,Seribu Rasa @ MK,Ayam Penyet,4.1,Kuala Lumpur,1,0,1
m7dj,Restoran Punjabi Rasoi,Indian,4.1,Kuala Lumpur,85,6,92
m7lm,Restoran Nasi Kandar Deen (Setapak),Malaysian,4.5,Kuala Lumpur,143,21,189
m7mp,Rock Bottom (Bangsar),Briyani,4.6,Kuala Lumpur,1,0,1
m7np,dipndip (Pavilion Elite),Bread,4.6,Kuala Lumpur,10,0,10
m7nx,BBQ Chicken (Faber Towers),Chicken,4.5,Kuala Lumpur,38,5,46
m7qc,Restoran Sederhana (Chow Kit),Asian,4.5,Kuala Lumpur,31,2,33
m8aj,Hyderabad Recipe's (Pwtc),Chicken,4.1,Kuala Lumpur,47,4,52
