"year","month","FoodType","averagerating","totalreview"
"2023","06",Sandwiches,3.9,273
"2023","06",Satay,4.0,97
"2023","06",Seafood,3.8,253
"2023","06",Shawarma,4.2,155
"2023","06",Snacks,4.1,20
"2023","06",Soups,4.2,213
"2023","06",Sushi,3.3,35
"2023","06",Takoyaki,4.4,81
"2023","06",Thai,3.9,509
"2023","06",Tom Yum,4.3,37
"2023","06",Vegetarian,3.9,65
"2023","06",Western,4.0,209
"2023","06",Wraps,4.0,9
"2023","07",American,2.5,2
"2023","07",Asian,3.8,1779
"2023","07",Ayam Penyet,3.9,297
"2023","07",Beverages,4.0,399
"2023","07",Bread,3.8,141
"2023","07",Briyani,3.9,134
"2023","07",Bubble Tea,3.6,41
"2023","07",Burgers,4.3,571
"2023","07",Cakes,4.3,109
"2023","07",Chicken,3.9,2274
"2023","07",Chicken Chop,4.0,103
"2023","07",Chicken Rice,3.7,171
"2023","07",Chinese,3.5,723
"2023","07",Curry,3.6,34
"2023","07",Desserts,3.9,212
"2023","07",Dim Sum ,3.6,11
"2023","07",Dumpling,4.0,18
"2023","07",European,4.2,37
"2023","07",Fast Food,3.3,357
"2023","07",Fried Chicken,3.6,398
"2023","07",Fried Rice,3.9,2365
"2023","07",Fries,2.3,7
"2023","07",Grill,3.4,5
"2023","07",Healthy,3.2,37
"2023","07",HomeChef,4.3,9
"2023","07",Ice Cream,4.8,6
"2023","07",Indian,3.4,611
"2023","07",International,3.2,12
"2023","07",Italian,3.5,32
"2023","07",Japanese,3.7,128
"2023","07",Juice,3.7,36
"2023","07",Korean,3.8,199
"2023","07",Kuey Teow,4.1,73
"2023","07",Laksa,3.9,99
"2023","07",Malaysian,3.8,5432
"2023","07",Meat,1.0,1
"2023","07",Mediterranean,5.0,1
"2023","07",Mee Goreng,3.0,3
"2023","07",Middle Eastern,3.3,108
"2023","07",Nasi Kandar,3.6,322
"2023","07",Nasi Kerabu,4.1,184
"2023","07",Nasi Kukus,4.2,313
"2023","07",Nasi Lemak,4.0,897
"2023","07",Noodles,3.8,431
"2023","07",Pancakes & Waffles,4.2,189
"2023","07",Pasta,4.0,234
"2023","07",Pisang Goreng,3.9,71
"2023","07",Pizza,3.6,143
"2023","07",Poke Bowl ,3.5,98
"2023","07",Porridge,4.0,80
"2023","07",Ramen,3.8,4
"2023","07",Rice Dishes,3.8,350
"2023","07",Roti Canai,3.5,1494
"2023","07",Salads,4.2,25
"2023","07",Sandwiches,3.9,284
"2023","07",Satay,4.1,115
"2023","07",Seafood,3.9,288
"2023","07",Shawarma,4.0,137
"2023","07",Snacks,4.5,16
"2023","07",Soups,3.9,216
"2023","07",Sushi,3.6,39
"2023","07",Takoyaki,4.3,68
"2023","07",Thai,3.7,536
"2023","07",Tom Yum,4.0,42
"2023","07",Vegan,5.0,1
"2023","07",Vegetarian,4.2,85
"2023","07",Western,4.2,259
"2023","07",Wraps,3.3,16
"2023","08",Asian,3.8,1798
"2023","08",Ayam Penyet,3.9,339
"2023","08",Beverages,3.9,315
"2023","08",Bread,4.0,113
"2023","08",Briyani,4.0,122
"2023","08",Bubble Tea,3.6,42
"2023","08",Burgers,4.3,639
"2023","08",Cakes,4.0,112
"2023","08",Chicken,3.9,2185
"2023","08",Chicken Chop,3.9,75
"2023","08",Chicken Rice,3.5,116
"2023","08",Chinese,3.5,568
"2023","08",Curry,4.0,44
"2023","08",Desserts,4.0,249
"2023","08",Dim Sum ,3.7,10
"2023","08",Dumpling,4.1,30
"2023","08",European,4.2,28
"2023","08",Fast Food,3.1,375
"2023","08",Fried Chicken,3.5,338
"2023","08",Fried Rice,3.9,2214
"2023","08",Fries,3.0,11
"2023","08",Grill,5.0,1
"2023","08",Halal,4.8,5
"2023","08",Healthy,4.1,31
"2023","08",HomeChef,4.0,4
"2023","08",Ice Cream,4.5,6
"2023","08",Indian,3.6,728
"2023","08",International,3.3,12
"2023","08",Italian,3.6,32
"2023","08",Japanese,3.3,90
"2023","08",Juice,4.2,22
"2023","08",Korean,3.7,148
"2023","08",Kuey Teow,4.0,75
"2023","08",Laksa,4.4,107
"2023","08",Malaysian,3.9,5427
"2023","08",Mediterranean,5.0,3
"2023","08",Mee Goreng,4.5,2
"2023","08",Middle Eastern,3.9,161
"2023","08",Nasi Kandar,3.4,324
"2023","08",Nasi Kerabu,3.8,185
"2023","08",Nasi Kukus,4.1,349
"2023","08",Nasi Lemak,4.1,908
"2023","08",Noodles,3.8,400
"2023","08",Pancakes & Waffles,4.1,141
"2023","08",Pasta,4.0,237
"2023","08",Pisang Goreng,3.9,67
"2023","08",Pizza,3.1,112
"2023","08",Poke Bowl ,3.3,72
"2023","08",Porridge,4.2,87
"2023","08",Ramen,4.2,10
"2023","08",Rice Dishes,3.8,363
"2023","08",Roti Canai,3.7,1417
"2023","08",Salads,3.6,21
"2023","08",Sandwiches,4.0,246
"2023","08",Satay,3.7,99
"2023","08",Seafood,3.9,257
"2023","08",Shawarma,3.9,125
"2023","08",Snacks,4.6,16
"2023","08",Soups,4.0,275
"2023","08",Sushi,3.5,44
"2023","08",Takoyaki,4.1,75
"2023","08",Thai,3.7,530
"2023","08",Tom Yum,3.7,49
"2023","08",Vegan,5.0,1
"2023","08",Vegetarian,3.6,80
"2023","08",Western,4.0,217
"2023","08",Wraps,3.3,12
"2023","09",American,2.6,5
"2023","09",Asian,3.7,2268
"2023","09",Ayam Penyet,3.8,320
"2023","09",Beverages,3.7,438
"2023","09",Bread,3.7,161
"2023","09",Briyani,3.7,141
"2023","09",Bubble Tea,3.3,37
"2023","09",Burgers,4.3,673
"2023","09",Cakes,3.8,203
"2023","09",Chicken,3.8,2409
"2023","09",Chicken Chop,4.1,66
"2023","09",Chicken Rice,3.6,139
"2023","09",Chinese,3.5,912
"2023","09",Curry,4.0,54
"2023","09",Desserts,3.9,316
"2023","09",Dim Sum ,3.1,15
"2023","09",Dumpling,3.9,28
"2023","09",European,4.1,31
"2023","09",Fast Food,3.2,379
"2023","09",Fried Chicken,3.4,495
"2023","09",Fried Rice,3.8,2350
"2023","09",Fries,3.4,17
"2023","09",Grill,3.5,8
"2023","09",Halal,4.7,13
"2023","09",Healthy,3.5,62
"2023","09",HomeChef,4.7,14
"2023","09",Ice Cream,3.0,4
"2023","09",Indian,3.5,846
"2023","09",International,4.1,28
"2023","09",Italian,3.8,34
"2023","09",Japanese,3.5,142
"2023","09",Juice,3.3,26
"2023","09",Korean,3.8,194
"2023","09",Kuey Teow,4.2,70
"2023","09",Laksa,4.0,164
"2023","09",Malaysian,3.8,6050
"2023","09",Mediterranean,2.3,3
"2023","09",Mee Goreng,4.7,3
"2023","09",Middle Eastern,3.6,184
"2023","09",Nasi Kandar,3.5,338
"2023","09",Nasi Kerabu,3.9,209
"2023","09",Nasi Kukus,4.1,321
"2023","09",Nasi Lemak,4.0,959
"2023","09",Non-Halal,5.0,1
"2023","09",Noodles,3.7,545
"2023","09",Pancakes & Waffles,3.9,157
"2023","09",Pasta,3.7,247
"2023","09",Pisang Goreng,3.8,75
"2023","09",Pizza,3.1,141
"2023","09",Poke Bowl ,3.5,115
"2023","09",Porridge,4.0,99
"2023","09",Ramen,4.9,8
"2023","09",Rice Dishes,3.6,346
"2023","09",Roti Canai,3.5,1512
"2023","09",Salads,3.9,11
"2023","09",Sandwiches,3.9,272
"2023","09",Satay,4.0,104
"2023","09",Seafood,3.8,345
"2023","09",Shawarma,4.1,154
"2023","09",Snacks,4.0,29
"2023","09",Soups,4.1,242
"2023","09",Sushi,3.7,62
"2023","09",Takoyaki,4.3,62
"2023","09",Thai,3.8,582
"2023","09",Tom Yum,3.3,50
"2023","09",Vegetarian,3.8,108
"2023","09",Western,3.9,237
"2023","09",Wraps,3.7,12
"2023","10",American,5.0,2
"2023","10",Asian,3.7,2594
"2023","10",Ayam Penyet,3.9,363
"2023","10",Beverages,3.8,388
"2023","10",Bread,3.8,128
"2023","10",Briyani,4.0,153
"2023","10",Bubble Tea,3.7,48
"2023","10",Burgers,4.2,695
"2023","10",Cakes,4.0,137
"2023","10",Chicken,3.7,2412
"2023","10",Chicken Chop,4.2,100
"2023","10",Chicken Rice,3.5,129
"2023","10",Chinese,3.5,854
"2023","10",Curry,3.9,51
"2023","10",Desserts,4.0,301
"2023","10",Dim Sum ,4.3,11
"2023","10",Dumpling,3.0,13
"2023","10",European,4.3,40
"2023","10",Fast Food,3.3,385
"2023","10",Fried Chicken,3.3,470
"2023","10",Fried Rice,3.7,2331
"2023","10",Fries,3.6,17
"2023","10",Grill,2.6,11
"2023","10",Halal,3.5,2
"2023","10",Healthy,3.6,51
"2023","10",HomeChef,4.8,8
"2023","10",Ice Cream,4.2,5
"2023","10",Indian,3.4,890
"2023","10",International,4.1,38
"2023","10",Italian,3.5,35
"2023","10",Japanese,3.2,131
"2023","10",Juice,4.0,22
"2023","10",Korean,3.8,202
"2023","10",Kuey Teow,4.2,69
"2023","10",Laksa,3.7,144
"2023","10",Malaysian,3.8,6296
"2023","10",Mediterranean,5.0,4
"2023","10",Mee Goreng,4.6,5
"2023","10",Middle Eastern,4.0,310
"2023","10",Nasi Kandar,3.4,371
"2023","10",Nasi Kerabu,3.8,219
"2023","10",Nasi Kukus,3.9,358
"2023","10",Nasi Lemak,4.0,930
"2023","10",Noodles,3.7,459
"2023","10",Pancakes & Waffles,4.2,146
"2023","10",Pasta,3.8,247
"2023","10",Pisang Goreng,3.9,60
"2023","10",Pizza,3.4,140
