"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"mv8i","Taiping KeoyTeow","Kuey Teow","3.9","(100+)","Kuala Lumpur",""
"ozgv","猪肉粉","Chinese","3","(1)","Kuala Lumpur",""
"c0gv","Rara D Salai","Nasi Kerabu","4.6","(1000+)","Kuala Lumpur",""
"a2zh","Cafe:in House","Italian","3.1","(20)","Kuala Lumpur",""
"acz2","Neurally Cafe","Healthy","2.2","(2)","Kuala Lumpur",""
"gtki","CT GARDEN","Malaysian","4.5","(500+)","Kuala Lumpur",""
"u8cj","Yu Bowl Canteen","Seafood","4.6","(100+)","Kuala Lumpur",""
"fd4d","Alfa Dapur Panas - 33 Food Court","Malaysian","5","(13)","Kuala Lumpur",""
"t1le","Alfa Santapan Pagi - 33 Food Court","Malaysian","3.9","(16)","Kuala Lumpur",""
"hz1t","PUTU BAMBU JALAN RAJA ALANG KG BARU","Porridge","4.4","(84)","Kuala Lumpur",""
"zab9","Uncle 6 Toast Bar","Malaysian","4.5","(100+)","Kuala Lumpur",""
"n7bz","Warung Kerinci Nasi Campur","Chicken","4.5","(1000+)","Kuala Lumpur",""
"s4ts","Chicken Rice @ Tai Kong 烧腊饭大光茶餐室","Chicken","4.7","(500+)","Kuala Lumpur",""
"x4m1","Alice Thai Chef Food (Pudu)","Seafood","4.6","(32)","Kuala Lumpur",""
"fqkj","Alfa Penyet Meletop - 33 Food Court","Meat","5","(4)","Kuala Lumpur",""
"uxn6","Alfa Nasi Ayam Goreng Kunyit - 33 Food Court","Malaysian","4.8","(10)","Kuala Lumpur",""
"ehub","Dosz Coffee (CIMB Hub Kenanga International)","Coffee","5","(47)","Kuala Lumpur",""
"ey40","Rose Ayam Penyet","Asian","4.6","(54)","Kuala Lumpur",""
"n4bm","JuiceLab (Bangsar South)","Juice","4.8","(100+)","Kuala Lumpur",""
"akqn","Mau Coffee","Desserts","5","(5)","Kuala Lumpur",""
"ydn9","Tomyam Ala Thai & Ayam Penyet","Asian","4.8","(100+)","Kuala Lumpur",""
"h4se","Restoran Zaman Maju (KL)","Fried Rice","4.2","(500+)","Kuala Lumpur",""
"yd85","Nobile Coffee and Tea (Bangsar South)","Coffee","4.6","(21)","Kuala Lumpur",""
"y737","Restoran New Sek Yuen","Chinese","4.3","(28)","Kuala Lumpur",""
"hn26","Stinky Queen Tofu","Chinese","4.7","(2)","Kuala Lumpur",""
"n8kw","Warong Soto Shamsalwah","Chicken","4.7","(2000+)","Kuala Lumpur",""
"e2ph","One more Satu Cawan Lagi (多一杯)","Chinese","4.4","(6)","Kuala Lumpur",""
"hl2k","AYAM KICAP PEDAS BERAPI (Selera D’Kerinchi)","Chicken","4.5","(100+)","Kuala Lumpur",""
"p2pl","Ayam Goreng Kunyit Atok Chan","Chicken","4.7","(4000+)","Kuala Lumpur",""
"yjsl","KEDAI CIK JAH (LRT UNIVERSITI)","Asian","4.7","(53)","Kuala Lumpur",""
"v8gj","Bubur Ayam Beratur, Masjid Jamek KL","Porridge","4.6","(81)","Kuala Lumpur",""
"a9xy","Da Long Yi Hotpot (Bukit Bintang)","Asian","4.3","(13)","Kuala Lumpur",""
"n0qt","Sani Hotel","Malaysian","4.1","(100+)","Kuala Lumpur",""
"avlg","Burger Ali Kerinchi","Burgers","4.6","(99)","Kuala Lumpur",""
"d9w2","UNCLE WEI AUTHENTIC FISHBALL NOODLE 伟记正宗西刀鱼丸粉","Noodles","4.5","(100+)","Kuala Lumpur",""
"vnkg","顺记六味清宝凉 Soon Kee Lin Chee Kang","Desserts","5","(1)","Kuala Lumpur",""
"ado4","Better Meals 点一餐@Bangsar South","Chinese","4.5","(1000+)","Kuala Lumpur",""
"q3fa","The Chicken Rice Shop (KL Gateway)","Chicken","4.7","(5000+)","Kuala Lumpur",""
"i84a","D’Laksa (Aeon Maxvalu The Sphere)","Laksa","4.6","(1000+)","Kuala Lumpur",""
"e0dy","PAK NGAH SUP UTARA","Soups","4.4","(100+)","Kuala Lumpur",""
"w5z5","Ignis KL","European","1","(1)","Kuala Lumpur",""
"drft","MAMA & MOKA","Asian","2.5","(3)","Kuala Lumpur",""
"l8rl","Frangipaani Restaurant","Chicken","4.8","(11)","Kuala Lumpur",""
"ulgq","Maznie Tomyam & Nasi Kerabu","Asian","4.6","(41)","Kuala Lumpur",""
"p349","Tangmama (Ansa Walk Bukit Bintang)","Beverages","4.7","(100+)","Kuala Lumpur",""
"xzvz","Ri Sheng Wan Tan Mee @ Wisma Genting","Noodles","4.7","(100+)","Kuala Lumpur",""
"oaxs","Ani Tomyam Kg Baru","Malaysian","4.2","(28)","Kuala Lumpur",""
"p3zv","Apam Balik Sedaapp @ Chow Kit","Pancakes & Waffles","4.2","(500+)","Kuala Lumpur",""
"va5e","Everyday Roastery (KLCC)","Bread","4.3","(500+)","Kuala Lumpur",""
"bvly","Lil’ Toasty Cafe - Cheras Perdana","Asian","2.6","(6)","Kuala Lumpur",""
"p0wy","Gerai Makan MZK","Nasi Lemak","4.8","(500+)","Kuala Lumpur",""
"n0ae","Botak Roti Canai","Roti Canai","4.3","(500+)","Kuala Lumpur",""
"lx9s","Ah Weng Koh Hainan Tea - ICC Pudu","Tea","4.5","(100+)","Kuala Lumpur",""
"h0wu","Makanan & Minuman Nur Alif","Asian","5","(1)","Kuala Lumpur",""
"w8bb","Sate Minang Ida","Fast Food","4.4","(100+)","Kuala Lumpur",""
"lrmr","MASA CAFE","Malaysian","4.6","(100+)","Kuala Lumpur",""
"bvy9","Mydeen Bistro Pudu Post Office","Malaysian","3.3","(6)","Kuala Lumpur",""
"gx4p","AZADAN'S KITCHEN","Malaysian","4","(100+)","Kuala Lumpur",""
"q1ny","Intan Cake House","Cakes","4.6","(48)","Kuala Lumpur",""
"lvn6","Andy's Cafe","Malaysian","4.5","(33)","Kuala Lumpur",""
"bqzv","Aiman MUnZA Tomyam","Malaysian","3.3","(5)","Kuala Lumpur",""
"v0si","Resepi Kak Wan Chik","Nasi Lemak","4.7","(500+)","Kuala Lumpur",""
"czai","Chuan Mei Zi China BBQ 川妹子中国烧烤 (The Nest)","Chinese","4.2","(93)","Kuala Lumpur",""
"p1no","Kerry's Florist Cafe","Rice Dishes","4.7","(100+)","Kuala Lumpur",""
"r1bi","Brunch Kitchen 百味园","Chicken","4.2","(500+)","Kuala Lumpur",""
"p4fi","Jio Kopi KL City walk","Coffee","4.6","(100+)","Kuala Lumpur",""
"nbb2","Nomiey Nasi Kukus Ayam Berempah","Malaysian","5","(2)","Kuala Lumpur",""
"xupu","ARRAHMAN","Malaysian","3.6","(4)","Kuala Lumpur",""
"bndl","AL ALIF MAJU","Indian","3.8","(2)","Kuala Lumpur",""
"h1fi","CEK SU AYAM PENYET","Ayam Penyet","4.5","(1000+)","Kuala Lumpur",""
"s6sy","D’Imbi Sotong/Ikan Bakar","Malaysian","3.9","(100+)","Kuala Lumpur",""
"ekhq","D'Daim Kitchen","Fried Rice","4.5","(100+)","Kuala Lumpur",""
"n6gr","Ayam Kunyit Pak Ngah","Chicken","4.7","(500+)","Kuala Lumpur",""
"axte","H & H Seafood & Ikan Bakar","Malaysian","3.9","(30)","Kuala Lumpur",""
"o1wp","Restoran Mawar Sate Padang (since 1976)","Malaysian","4.1","(500+)","Kuala Lumpur",""
"n3zp","chaFei","Malaysian","4.8","(100+)","Kuala Lumpur",""
"c16l","Nasi Ayam Kunyit Ustazah 6.99","Asian","2.2","(29)","Kuala Lumpur",""
"j7ix","ExtraBubble Bubble Tea & Ice Blended","Malaysian","4.8","(5)","Kuala Lumpur",""
"mfim","Nasgor Panas (KLCW)","Asian","2.7","(24)","Kuala Lumpur",""
"c6bm","KARIM ROTI CANAI","Roti Canai","4.6","(500+)","Kuala Lumpur",""
"jpon","Thai Street Food","Fried Rice","4.5","(100+)","Kuala Lumpur",""
"ss0s","ICC Feng Yang Noodle House","Asian","4.5","(71)","Kuala Lumpur",""
"s1rv","Samy & Min Bak Kut Teh 三美肉骨茶 (Pavilion KL)","Chinese","3.8","(100+)","Kuala Lumpur",""
"p6kp","BOY SATAY Berapi KAW","Satay","4.7","(1000+)","Kuala Lumpur",""
"suh4","Pak Yop Tip Top 3 (BAZAR RAMADHAN)","Malaysian","4.5","(500+)","Kuala Lumpur",""
"qhmd","Nazz Burger","Burgers","4.4","(94)","Kuala Lumpur",""
"k1pu","SYUKOR BURGER VIRAL (Pantai Dalam)","Malaysian","4.4","(100+)","Kuala Lumpur",""
"qd67","Kedai Hijau Ayam Penyet","Ayam Penyet","4.4","(100+)","Kuala Lumpur",""
"o2nf","Pak Yop Tip Top 2 (BAZARIA PANTAI)","Malaysian","4.4","(5000+)","Kuala Lumpur",""
"u50h","Claypot Station","Chinese","4.6","(67)","Kuala Lumpur",""
"nbir","RasaNya Steamboat","Asian","3","(1)","Kuala Lumpur",""
"q3ik","Putu Bambu World","Noodles","4.5","(500+)","Kuala Lumpur",""
"ngls","Pak Yop Mangga Susu Kaw (CORNER)","Asian","4.2","(500+)","Kuala Lumpur",""
"q8ic","Vietnam Coffee Chow Kit","Juice","4.6","(100+)","Kuala Lumpur",""
"o3cg","ACOB SATAY","Satay","4.7","(1000+)","Kuala Lumpur",""
"o3sa","Zamzura D'Santai Satay","Malaysian","4.6","(500+)","Kuala Lumpur",""
"ii5e","OTAIII GORENG PISANG (PANTAI PERMAI)","Pisang Goreng","4.7","(500+)","Kuala Lumpur",""
"ling","Nasi Tok Deng ( Outlet Wisma UOA 2 Jln Pinang )","Malaysian","4.8","(14)","Kuala Lumpur",""
"n8zk","Pak Yop Tip Top Corner","Malaysian","4.4","(15000+)","Kuala Lumpur",""
"s5wm","Ikan Bakar Singgang Budu 17 Tingkat & Aneka Lauk Pauk","Rice Dishes","4.6","(500+)","Kuala Lumpur",""
"cu6d","Nasi Kandar City Maju","Indian","4.4","(22)","Kuala Lumpur",""
"avhl","Ayam Penyet Orindo & Aneka Lauk Pauk","Asian","2.9","(6)","Kuala Lumpur",""
"ngtf","S14 Tong Roast @ Food Republic Pavilion","Asian","3.9","(49)","Kuala Lumpur",""
"p9ml","Restoran Ayam Lenyek Merengek","Rice Dishes","4.2","(1000+)","Kuala Lumpur",""
"r9dq","Restoran Munah","Malaysian","4.7","(500+)","Kuala Lumpur",""
"i1zf","KIDDOS KITCHEN","Asian","3.8","(3)","Kuala Lumpur",""
"z131","Food Republic Pavilion","Asian","4.4","(35)","Kuala Lumpur",""
"jjff","Ayam Penyet Balada & Aneka Lauk Pauk","Asian","4.5","(100+)","Kuala Lumpur",""
"zvj6","Aleppo Arabic Kitchen PKNS Kg Kerinchi","Middle Eastern","4.5","(79)","Kuala Lumpur",""
"nkps","TAKOYAKI BY KAK LIN PANTAI","Asian","3.4","(11)","Kuala Lumpur",""
"uvuv","Restoran Nan Corner","Malaysian","4.9","(5)","Kuala Lumpur",""
"i272","DAPUR OFFSHORE","Malaysian","4.7","(1000+)","Kuala Lumpur",""
"r0pt","Grandmama's (Pavilion KL)","Asian","4.7","(100+)","Kuala Lumpur",""
"rvvt","TERATAK SYURGA KITCHEN","Soups","4.5","(100+)","Kuala Lumpur",""
"n24z","Al Safinah Bistro","Malaysian","5","(1)","Kuala Lumpur",""
"n1lt","Lan Roti Canai","Roti Canai","4.6","(10000+)","Kuala Lumpur",""
"nv6z","Nasi Briyani Gam An-Nur @ Kampung Baru","Malaysian","4.5","(100+)","Kuala Lumpur",""
"n9tv","Royal India Pavilion","Indian","3.6","(37)","Kuala Lumpur",""
"ht2t","Nasi Ayam Power Pantai Dalam","Malaysian","4.2","(78)","Kuala Lumpur",""
"cg6z","Uncle Bob Fried Chicken (Kampung Baru)","Malaysian","4.2","(100+)","Kuala Lumpur",""
"urqe","Ayam kicap 9aduh","Asian","5","(4)","Kuala Lumpur",""
"hax9","The Courtyard & Jade Pavilion – Pavilion Hotel KL","Seafood","4.4","(7)","Kuala Lumpur",""
"af2p","Korean Kitchen @ Wisma UOA","Korean","5","(19)","Kuala Lumpur",""
"b16d","Kaknor corner","Chicken","4.6","(100+)","Kuala Lumpur",""
"t0e0","Ayam Kicap Tok City Cafe","Malaysian","4.4","(8)","Kuala Lumpur",""
"o8nl","LowMunChai (流民仔凉茶龟苓膏Imbi)","Tea","4.9","(32)","Kuala Lumpur",""
"tlpf","SGM CHICKEN RICE & MEE KARI","Chicken Rice","4.1","(48)","Kuala Lumpur",""
"wjid","S11 Nasi Kandar Molla @ Food Republic Pavilion","Briyani","3","(14)","Kuala Lumpur",""
"r1d9","Abe Lokcing Pantai Dalam","Malaysian","4.4","(18)","Kuala Lumpur",""
"sjng","Mac'd & Cheesy","Italian","4.3","(100+)","Kuala Lumpur",""
"x2qi","Roti Canai Darus Kg. Baru","Malaysian","4.4","(100+)","Kuala Lumpur",""
"kcli","UOA2 WESTERN LICIOUS","Western","4.4","(100+)","Kuala Lumpur",""
"s6ve","Haslina Ayam Penyet","Ayam Penyet","4.8","(1000+)","Kuala Lumpur",""
"u0jn","Along dan Haikal Nasi Bajet","Malaysian","4.4","(100+)","Kuala Lumpur",""
"f1xp","Madam Grace Kitchen (WISMA UOA)","Noodles","4.2","(100+)","Kuala Lumpur",""
"t12x","Kedai Ali Roti Canai Tsunami","Roti Canai","4.6","(1000+)","Kuala Lumpur",""
"mig6","Majeed Sup 786","Malaysian","5","(2)","Kuala Lumpur",""
"qw3y","Restoran Mashahir","Malaysian","4.3","(55)","Kuala Lumpur",""
"owek","3BB","Malaysian","3.8","(5)","Kuala Lumpur",""
"w2ra","Duta Delight","Malaysian","4.7","(500+)","Kuala Lumpur",""
"pj0k","Popis Banana Coklat","Desserts","4.8","(1000+)","Kuala Lumpur",""
"jvk2","Lahori Taste (Jalan Pahang)","Malaysian","4.5","(3)","Kuala Lumpur",""
"rrgw","Secret Kitchen Pantai Dalam","Asian","4.7","(64)","Kuala Lumpur",""
"e0jh","Cucur Udang Pantai","Seafood","4.4","(500+)","Kuala Lumpur",""
"vt8y","JD Coffee (Chow Kit)","Coffee","4.7","(53)","Kuala Lumpur",""
"eygv","MARTABAK NINGRAT","Desserts","4.8","(100+)","Kuala Lumpur",""
"gwhu","Warung Gemilang Bakso Penyet Aqif","Asian","4.8","(4)","Kuala Lumpur",""
"e1ri","Nasi kerabu NZ","Nasi Kerabu","4.7","(2000+)","Kuala Lumpur",""
"o1uo","Nasi Lemak Koboi","Nasi Lemak","4.9","(500+)","Kuala Lumpur",""
"df8r","DE ANDALUCIA CAFE & CATERING","Asian","4.1","(100+)","Kuala Lumpur",""
"zsa3","Croissanterie - Fraser Business Park","Italian","5","(1)","Kuala Lumpur",""
"v2ox","Fattoush Express 2","Middle Eastern","4.3","(6)","Kuala Lumpur",""
"x8m0","Nasi Lemak Kukus Dpandan","Malaysian","4.8","(500+)","Kuala Lumpur",""
"o5tt","Dapur Kak Rozy","Seafood","4.6","(79)","Kuala Lumpur",""
"w9nl","Restoran Nasi Kandar Haji Sulaiman (Jalan Ipoh)","Nasi Kandar","4.5","(500+)","Kuala Lumpur",""
"ga7e","Darlingmeo Kitchen","International","3.9","(19)","Kuala Lumpur",""
"k7tt","Bake Away","Pizza","4.4","(100+)","Kuala Lumpur",""
"n2wi","Eye's Steak (Pantai Dalam)","Pasta","4.3","(1000+)","Kuala Lumpur",""
"a0qm","Restoran Leo Corner by Suriani","Asian","4.2","(500+)","Kuala Lumpur",""
"qz4j","Che Ha Nasi ayam Kepok & Bakso","Malaysian","4.5","(100+)","Kuala Lumpur",""
"di8x","AZ Adventure Food Station","Chicken","4.7","(15)","Kuala Lumpur",""
"xlww","URBAN KOPITIAM","Malaysian","4.5","(3)","Kuala Lumpur",""
"l2yq","Tomyam 3000","Fried Rice","4.7","(100+)","Kuala Lumpur",""
"jcry","Senandung Kambing Bakar @ KL Last Exit Restaurant","Chicken","4.5","(15)","Kuala Lumpur",""
"f8fm","Ady Nasi Kukus Ayam Kunyit","Chicken","4.3","(64)","Kuala Lumpur",""
"d704","Milko Cafe","Asian","4.8","(100+)","Kuala Lumpur",""
"s6qz","Awie Nasi Ayam","Malaysian","4.6","(95)","Kuala Lumpur",""
"o58a","Succo bar","Malaysian","5","(5)","Kuala Lumpur",""
"t8rc","Warung rindu bazaria pantai","Nasi Lemak","4.2","(1000+)","Kuala Lumpur",""
"qi10","FAMILY TOMYAM (MASAKAN PANAS)","Asian","3.1","(17)","Kuala Lumpur",""
"c8au","Rice On! Kg Baru","Malaysian","4.8","(81)","Kuala Lumpur",""
"k7n8","Din Canai Cafe","Malaysian","4.9","(12)","Kuala Lumpur",""
"b4wo","TAKOYAKI & NAZREE TOMYAM","Takoyaki","5","(2)","Kuala Lumpur",""
"nzct","Nazri cafe","Asian","5","(8)","Kuala Lumpur",""
"m3si","Tokyo Teppan","Japanese","4.4","(100+)","Kuala Lumpur",""
"gr6k","DARIZ KOPI AIS KAW","Beverages","5","(1)","Kuala Lumpur",""
"pniq","Spicy Hub Restaurant","Indian","4.3","(2)","Kuala Lumpur",""
"xfzy","OLIE Sarawak Kolok Mee","Asian","4.8","(66)","Kuala Lumpur",""
"qi7l","Nasi Lemak Sotong Royale","Malaysian","4.9","(35)","Kuala Lumpur",""
"q1ub","Paya Goyang@Bazaria - Nasi Lemak Hari Ini","Nasi Lemak","4.5","(2000+)","Kuala Lumpur",""
"e9nn","AinAmy yong tau foo","Malaysian","4.3","(1000+)","Kuala Lumpur",""
"l57y","Coops Station Nasi Kukus","Malaysian","3.9","(3)","Kuala Lumpur",""
"m2bk","BBQ Restaurant","Soups","4.4","(500+)","Kuala Lumpur",""
"c0fj","ONN KEE CLAYPOT SEAFOOD PORRIDGE","Porridge","4.3","(100+)","Kuala Lumpur",""
"emdn","NASI KUKUS AYAM GORENG BEREMPAH","Asian","3.4","(6)","Kuala Lumpur",""
"ikg7","GPC Goreng Pisang Crispy (Kg Baru)","Malaysian","4.6","(100+)","Kuala Lumpur",""
"salo","Soon Fatt Roast Duck","Chinese","5","(10)","Kuala Lumpur",""
